date,quantity,description
2016-11-10 00:00:00,0,Buffer 1
2016-11-28 23:30:00,0,Buffer 1
2016-12-17 23:00:00,5,Buffer 1
2017-01-05 22:30:00,0,Buffer 1
2017-01-24 22:00:00,5,Buffer 1
2017-02-12 21:30:00,0,Buffer 1
2017-03-03 21:00:00,0,Buffer 1
2017-03-22 20:30:00,5,Buffer 1
2017-04-10 20:00:00,0,Buffer 1
2017-04-29 19:30:00,0,Buffer 1
2017-05-18 19:00:00,0,Buffer 1
2017-06-06 18:30:00,0,Buffer 1
2017-06-25 18:00:00,5,Buffer 1
2017-07-14 17:30:00,0,Buffer 1
2017-08-02 17:00:00,6,Buffer 1
2017-08-21 16:30:00,0,Buffer 1
2017-09-09 16:00:00,0,Buffer 1
2017-09-28 15:30:00,0,Buffer 1
2017-10-17 15:00:00,0,Buffer 1
2017-11-05 14:30:00,8,Buffer 1
2017-11-24 14:00:00,6,Buffer 1
2017-12-13 13:30:00,0,Buffer 1
2018-01-01 13:00:00,0,Buffer 1
2018-01-20 12:30:00,6,Buffer 1
2018-02-08 12:00:00,0,Buffer 1
2018-02-27 11:30:00,10,Buffer 1
2018-03-18 11:00:00,0,Buffer 1
2018-04-06 10:30:00,0,Buffer 1
2018-04-25 10:00:00,0,Buffer 1
2018-05-14 09:30:00,0,Buffer 1
2018-06-02 09:00:00,5,Buffer 1
2018-06-21 08:30:00,0,Buffer 1
2018-07-10 08:00:00,6,Buffer 1
2018-07-29 07:30:00,0,Buffer 1
2018-08-17 07:00:00,0,Buffer 1
2018-09-05 06:30:00,6,Buffer 1
2018-09-24 06:00:00,0,Buffer 1
2018-10-13 05:30:00,0,Buffer 1
2018-11-01 05:00:00,6,Buffer 1
2018-11-20 04:30:00,0,Buffer 1
2018-12-09 04:00:00,0,Buffer 1
2018-12-28 03:30:00,0,Buffer 1
2019-01-16 03:00:00,5,Buffer 1
2019-02-04 02:30:00,0,Buffer 1
2019-02-23 02:00:00,15,Buffer 1
2019-03-14 01:30:00,5,Buffer 1
2019-04-02 01:00:00,0,Buffer 1
2019-04-21 00:30:00,4,Buffer 1
2019-05-10 00:00:00,0,Buffer 1
